ts,signal_id,token_symbol,chain,action,token_address,tokens_amount,usdc_amount,price_actual,slippage_pct,price_impact_pct,tx_hash,status,note
2026-05-26T23:36:44.983410,DMT_20260526_232810,DMT,solana,trailing_sl,JjhMj5xSSDnih6fM9nwxPgVUesJTVvuKmRfttE9ENAT,87754917.155745,9.20,1.0487549e-07,2.00,0.03,DRY_RUN,dry_run,pnl=-0.80USDC
2026-05-26T23:41:05.570076,YiIong Ma_20260525_080343,YiIong Ma,solana,buy,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,45950.952525,10.00,0.00021762335,1.00,0.00,DRY_RUN,dry_run,
2026-05-26T23:45:36.165245,YiIong Ma_20260525_080343,YiIong Ma,solana,sl_adaptive,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,45950.952525,9.80,0.00021333347,1.00,0.01,DRY_RUN,dry_run,pnl=-0.20USDC
2026-05-27T05:52:39.613099,grail / SOL_20260526_225036,grail / SOL,solana,buy,3x6apzqJKgf33zet8CbkAx7LogqkRhNX6FiRzVA5pump,12815.400089,10.00,0.00078031118,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T05:53:50.222582,grail / SOL_20260526_225036,grail / SOL,solana,tp1,3x6apzqJKgf33zet8CbkAx7LogqkRhNX6FiRzVA5pump,6407.700045,4.86,0.00075854206,2.00,0.01,DRY_RUN,dry_run,
2026-05-27T05:53:50.751066,grail / SOL_20260526_225036,grail / SOL,solana,tp2,3x6apzqJKgf33zet8CbkAx7LogqkRhNX6FiRzVA5pump,6407.700045,4.86,0.00075853722,2.00,0.02,DRY_RUN,dry_run,pnl=-0.28USDC
2026-05-27T06:28:49.301156,CARDS / USDC_20260526_223922,CARDS / USDC,solana,buy,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,65.907159,10.00,0.15172859,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T06:29:49.857609,CARDS / USDC_20260526_223922,CARDS / USDC,solana,exit_bsr_collapse,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,65.907159,9.99,0.15157625,2.00,0.00,DRY_RUN,dry_run,pnl=-0.01USDC
2026-05-27T06:37:40.530438,WORLDCUP / SOL_20260526_210611,WORLDCUP / SOL,solana,buy,33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,1773.105580,10.00,0.0056398221,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T06:37:40.966075,HOPPY / SOL_20260526_225426,HOPPY / SOL,solana,buy,2RWndXkxWkaKhGjE7dZivVbK5qXtpwnCZJ1jpnxapump,7210.289215,10.00,0.0013869069,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T06:38:51.464302,WORLDCUP / SOL_20260526_210611,WORLDCUP / SOL,solana,exit_bsr_collapse,33eum82LaAhtv5YkUq1BdwEviSErH5CnFxqVNLT5pump,1773.105580,10.00,0.0056380049,2.00,0.00,DRY_RUN,dry_run,pnl=-0.00USDC
2026-05-27T06:38:51.963725,HOPPY / SOL_20260526_225426,HOPPY / SOL,solana,exit_bsr_collapse,2RWndXkxWkaKhGjE7dZivVbK5qXtpwnCZJ1jpnxapump,7210.289215,9.88,0.0013708999,2.00,0.02,DRY_RUN,dry_run,pnl=-0.12USDC
2026-05-27T06:48:52.794920,Print_20260526_192917,Print,solana,exit_vol_crash,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,427.413527,10.76,0.025170956,0.50,0.00,DRY_RUN,dry_run,pnl=+0.76USDC
2026-05-27T06:48:53.222690,Print_20260526_234437,Print,solana,buy,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,396.705029,10.00,0.025207646,0.50,0.00,DRY_RUN,dry_run,
2026-05-27T06:50:03.731350,Print_20260526_234437,Print,solana,exit_vol_crash,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,396.705029,10.00,0.025217215,0.50,0.00,DRY_RUN,dry_run,pnl=+0.00USDC
2026-05-27T06:50:04.163133,Print_20260527_055757,Print,solana,buy,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,395.988149,10.00,0.025253281,0.50,0.00,DRY_RUN,dry_run,
2026-05-27T06:51:04.760432,Print_20260527_055757,Print,solana,exit_vol_crash,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,395.988149,10.01,0.025286567,0.50,0.00,DRY_RUN,dry_run,pnl=+0.01USDC
2026-05-27T07:41:25.978485,YiIong Ma_20260525_140243,YiIong Ma,solana,buy,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,42873.763746,10.00,0.00023324288,1.00,0.00,DRY_RUN,dry_run,
2026-05-27T07:42:46.675055,YiIong Ma_20260525_140243,YiIong Ma,solana,tp1,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,21436.881873,4.98,0.00023220639,1.00,0.02,DRY_RUN,dry_run,
2026-05-27T09:03:49.898375,RICHGUY / SOL_20260527_090235,RICHGUY / SOL,solana,buy,4MhKUVWwjHHU9FwrBi85mDSSSxqwCgXDuExvpzkRpump,43364.661551,10.00,0.00023060251,2.00,0.01,DRY_RUN,dry_run,
2026-05-27T09:06:10.453147,RICHGUY / SOL_20260527_090235,RICHGUY / SOL,solana,exit_bsr_collapse,4MhKUVWwjHHU9FwrBi85mDSSSxqwCgXDuExvpzkRpump,43364.661551,9.19,0.0002118704,2.00,0.01,DRY_RUN,dry_run,pnl=-0.81USDC
2026-05-27T09:17:31.262605,YiIong Ma_20260525_140243,YiIong Ma,solana,tp1_trail,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,21436.881873,5.37,0.00025055696,1.00,0.02,DRY_RUN,dry_run,pnl=+0.35USDC
2026-05-27T09:17:31.775720,CAP_20260527_075513,CAP,solana,buy,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,39126.467810,10.00,0.00025558147,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T09:35:52.873670,CAP_20260527_075513,CAP,solana,exit_vol_crash,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,39126.467810,10.06,0.00025723689,2.00,0.02,DRY_RUN,dry_run,pnl=+0.06USDC
2026-05-27T10:09:54.352332,Hippo / SOL_20260527_100841,Hippo / SOL,solana,buy,6Tw9kzL3B4AFDyJNg7NULHpUozDrgdukU4UcVMwjpump,205112.091115,10.00,4.875383e-05,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T10:12:14.962437,Hippo / SOL_20260527_100841,Hippo / SOL,solana,exit_bsr_collapse,6Tw9kzL3B4AFDyJNg7NULHpUozDrgdukU4UcVMwjpump,205112.091115,9.88,4.8150735e-05,2.00,0.03,DRY_RUN,dry_run,pnl=-0.12USDC
2026-05-27T11:58:16.600003,SPARQ / EITHER_20260527_115802,SPARQ / EITHER,solana,buy,gLEXZ2kAfuYkpeeSzrEMbakiNeqAAZ3TsKiY9Can8pE,4927816.439152,10.00,2.0292964e-06,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T12:07:37.223808,SPARQ / EITHER_20260527_115802,SPARQ / EITHER,solana,exit_bsr_collapse,gLEXZ2kAfuYkpeeSzrEMbakiNeqAAZ3TsKiY9Can8pE,4927816.439152,9.75,1.9780254e-06,2.00,0.03,DRY_RUN,dry_run,pnl=-0.25USDC
2026-05-27T14:29:35.534715,CARDS / USDC_20260527_055955,CARDS / USDC,solana,buy,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,516.205668,100.00,0.19372124,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T14:30:36.050975,CARDS / USDC_20260527_055955,CARDS / USDC,solana,tp1,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,258.102834,50.20,0.19448359,2.00,0.00,DRY_RUN,dry_run,
2026-05-27T14:36:46.840936,Ebola / SOL_20260527_085238,Ebola / SOL,solana,buy,5vicJEyYTDBqMsKe74vWQeDVMe5cmeA3vr1AT8RXb9t1,173429.414415,100.00,0.00057660346,2.00,0.00,DRY_RUN,dry_run,
